Rk,Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
1,Nicaragua,Americas,14339,216.452,33,0.498,33,232,3.502,1,0.015,1
1,Grenada,Americas,14064,12498.778,40,35.548,0,219,194.627,1,0.889,0
1,Bermuda,Americas,12808,20567.501,244,391.823,45,130,208.758,2,3.212,0
1,Solomon Islands,Western Pacific,12285,1788.512,429,62.456,280,139,20.236,5,0.728,2
1,Gambia,Africa,11990,496.138,0,0,0,365,15.103,0,0,0
1,Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
1,Dominica,Americas,11968,16624.3,71,98.623,0,63,87.511,0,0,0
1,Yemen,Eastern Mediterranean,11814,39.61,2,0.007,0,2147,7.198,3,0.01,0
1,Monaco,Europe,11261,28694.832,318,810.315,67,56,142.697,2,5.096,0
1,Northern Mariana Islands (Commonwealth of the),Western Pacific,11203,19464.183,45,78.183,0,34,59.072,1,1.737,0
1,Saint Martin,Americas,10129,26200.885,60,155.203,0,44,113.816,0,0,0
1,Sint Maarten,Americas,9873,23023.646,86,200.55,86,86,200.55,0,0,0
1,Eritrea,Africa,9732,274.418,4,0.113,0,103,2.904,0,0,0
1,Niger,Africa,8846,36.544,30,0.124,0,308,1.272,0,0,0
1,Tonga,Western Pacific,8559,8097.829,1174,1110.743,115,11,10.407,2,1.892,2
1,Saint Vincent and the Grenadines,Americas,8344,7521.183,6,5.408,0,106,95.547,0,0,0
1,Guinea-Bissau,Africa,8175,415.396,14,0.711,0,170,8.638,0,0,0
1,Comoros,Africa,8097,931.117,2,0.23,0,160,18.399,0,0,0
1,Sierra Leone,Africa,7677,96.239,2,0.025,0,125,1.567,0,0,0
1,Bonaire,Americas,7663,36638.776,0,0,0,28,133.875,0,0,0
1,Antigua and Barbuda,Americas,7511,7669.842,18,18.381,0,135,137.855,0,0,0
1,Liberia,Africa,7402,146.352,0,0,0,294,5.813,0,0,0
1,Chad,Africa,7378,44.917,31,0.189,0,192,1.169,0,0,0
1,British Virgin Islands,Americas,6162,20379.006,7,23.15,0,62,205.047,0,0,0
1,Sao Tome and Principe,Africa,5948,2714.011,0,0,0,73,33.309,0,0,0
1,Turks and Caicos Islands,Americas,5923,15297.794,13,33.576,0,36,92.98,0,0,0
1,Saint Kitts and Nevis,Americas,5554,10441.42,4,7.52,0,43,80.839,0,0,0
1,Vanuatu,Western Pacific,5543,1804.685,1099,357.811,56,6,1.953,4,1.302,2
1,American Samoa,Western Pacific,5444,9862.855,679,1230.139,10,17,30.799,10,18.117,5
1,Saint Barthélemy,Americas,4233,42822.458,164,1659.079,0,4,40.465,0,0,0
1,Palau,Western Pacific,4122,22783.551,52,287.42,24,6,33.164,0,0,0
