"Micronesia, Fed. Sts.",FSM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,22.812,22.933
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,89.741,90.092
United Kingdom,GBR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,83.652,83.903
Georgia,GEO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.039,59.453
Ghana,GHA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.707,57.349
Gibraltar,GIB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.5,36.875
"Gambia, The",GMB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,61.931,62.582
Guinea-Bissau,GNB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.777,44.196
Equatorial Guinea,GNQ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,72.627,73.1
Greece,GRC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,79.388,79.715
Grenada,GRD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.396,36.537
Greenland,GRL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.052,87.282
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.439,51.836
Guam,GUM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,94.859,94.938
Guyana,GUY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,26.689,26.786
High income,HIC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.57154334,81.7553883
"Hong Kong SAR, China",HKG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100
Honduras,HND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.73,58.359
Heavily indebted poor countries (HIPC),HPC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.48128097,36.96302361
Croatia,HRV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.242,57.553
Haiti,HTI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.192,57.088
Hungary,HUN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,71.644,71.942
IBRD only,IBD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.62587482,56.21708913
IDA & IBRD total,IBT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.96310978,51.48099511
IDA total,IDA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.47898001,37.98887749
IDA blend,IDB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.70718189,43.19421346
Indonesia,IDN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.985,56.641
IDA only,IDX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.82755112,35.35025068
Isle of Man,IMN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,52.735,52.898
India,IND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.472,34.926
Not classified,INX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,,
Ireland,IRL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.405,63.653
"Iran, Islamic Rep.",IRN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,75.391,75.874
Iraq,IRQ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,70.678,70.893
Iceland,ISL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,93.855,93.898
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,92.501,92.587
Italy,ITA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,70.736,71.039
Jamaica,JAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.985,56.311
Jordan,JOR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.203,91.418
Japan,JPN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.698,91.782
Kazakhstan,KAZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.54,57.671
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,27.507,27.995
Kyrgyz Republic,KGZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.591,36.856
Cambodia,KHM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.805,24.232
Kiribati,KIR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,54.835,55.594
St. Kitts and Nevis,KNA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.799,30.843
"Korea, Rep.",KOR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.43,81.414
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100
Latin America & Caribbean (excluding high income),LAC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.2432925,80.51444577
Lao PDR,LAO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.645,36.29
Lebanon,LBN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.758,88.925
Liberia,LBR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.615,52.089
Libya,LBY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.393,80.691
St. Lucia,LCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,18.754,18.841
Latin America & Caribbean,LCN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.87055753,81.11809007
Least developed countries: UN classification,LDC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.10135049,34.64073484
Low income,LIC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,33.00706722,33.45086108
Liechtenstein,LIE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,14.371,14.416
